run;eda;descry;dhc;dbclasd;dbscan;denclue;amr
1;99,99910141;86,18722641;89,54027032;94,08564697;97,21360894;58,32444189;88,57769636
2;97,78962837;88,00148472;89,86502226;92,99629569;97,03500273;63,38088462;88,53310405
3;95,21585362;88,92221304;90,47578964;94,32495646;97,250713;61,48101403;88,51655708
4;99,9993646;90,06938168;89,76977507;93,20315151;97,10053563;69,73013265;88,69524066
5;99,02354685;84,09013399;99,9596565;93,65510844;96,76745908;42,28533131;88,43432523
6;100;83,18602552;88,56534801;92,22384209;96,81150183;58,48535158;88,48679954
7;99,9993646;88,00148472;89,73836057;91,06366797;96,39507953;65,78166835;88,63307971
8;100;88,00148472;88,23839214;92,15399122;97,18281915;57,45349946;88,48017197
9;95,17757178;90,05798332;92,1494642;94,1100549;97,19116637;61,54383316;88,44765743
10;94,5406597;88,00148472;93,53519806;94,90940176;97,01459283;58,11946364;88,37651457
11;99,99999996;85,1297897;88,26775747;95,08526813;97,23973776;65,82127161;88,49564225
12;99,4521587;86,60337114;99,88579039;94,32495646;97,08394078;66,3001589;88,5341293
13;96,11835496;90,14175944;90,53874148;94,7599184;96,77402806;60,08472446;88,40992271
14;93,33318709;84,5474578;99,96830454;92,2085594;96,99137148;59,02484626;88,45210491
15;97,795407;85,23875134;99,89591427;94,24161803;97,21598134;68,80159893;88,59082409
16;99,83472155;84,23921735;88,42618938;91,07202072;97,11517895;79,81505581;88,53619301
17;95,01368179;88,00148472;91,51217338;91,95763374;97,14867026;59,02910606;88,43876759
18;99,98628697;88,04428161;99,98071297;94,32495646;96,65447894;62,03446854;88,4276649
19;97,83114292;88,00148472;88,83587662;91,76442616;97,3500053;86,10976287;88,51436244
20;96,15826691;84,4094353;91,79883515;94,87802003;96,82179137;80,58833114;88,47213983
21;100;86,11561281;88,79192284;94,50516272;97,17439707;46,08839563;88,65230585
22;98,07376508;86,18722641;98,91802822;92,77167793;96,86845602;54,66126597;88,59850181
23;99,88972065;83,90927879;87,76902141;94,02265415;97,45835716;43,76860045;88,48238074
24;99,54067759;86,67527433;88,56080638;94,05130515;97,08394078;62,32416363;88,56383856
25;99,99910141;88,00148472;88,87382328;92,01985742;97,22382834;61,05468703;88,55613253
26;99,74484519;86,18722641;98,98984874;92,62158451;97,11804791;58,67859784;88,46768462
27;99,36982043;86,05066844;87,16241096;94,09776657;97,10114482;43,54509373;88,4735482
28;93,9158536;88,00148472;92,21956308;94,09776657;97,116251;65,98961387;88,49343093
29;94,14641752;88,01112652;92,72003849;93,04951953;97,24341077;69,60484884;88,58848609
30;99,82027453;88,00148472;99,92665335;94,08564697;97,13171357;63,33897478;88,40789859
